qs1,qs2,qs3,qs4,qs5,merge1,partition
0.09691119194030762,0.1568763256072998,0.14818215370178223,0.27367138862609863,0.13754510879516602,0.1551508903503418,0.10857892036437988
0.09730386734008789,0.15033245086669922,0.14975333213806152,0.28911471366882324,0.13959145545959473,0.1514127254486084,0.10872745513916016
0.14696097373962402,0.15314722061157227,0.1488332748413086,0.1337904930114746,0.13363432884216309,0.15468955039978027,0.1086740493774414
0.23595976829528809,0.15613126754760742,0.15239620208740234,0.1329789161682129,0.1320340633392334,0.1523435115814209,0.10946941375732422
0.23322510719299316,0.14931416511535645,0.147139310836792,0.1544346809387207,0.13402056694030762,0.1561412811279297,0.11016988754272461
0.22995805740356445,0.14730167388916016,0.15114402770996094,0.14046621322631836,0.1362464427947998,0.15249323844909668,0.10925841331481934
0.21669936180114746,0.1519463062286377,0.14325451850891113,0.1446685791015625,0.13765907287597656,0.15267109870910645,0.11112093925476074
0.09906387329101562,0.14753293991088867,0.14364194869995117,0.14748191833496094,0.1358945369720459,0.1511375904083252,0.11199331283569336
0.09975886344909668,0.1510145664215088,0.14818406105041504,0.13571929931640625,0.1377851963043213,0.15259170532226562,0.10974526405334473
0.09865808486938477,0.14811325073242188,0.15472102165222168,0.13104724884033203,0.13277435302734375,0.15041136741638184,0.11262059211730957
0.10544157028198242,0.15111827850341797,0.15843415260314941,0.13541531562805176,0.13891077041625977,0.15215492248535156,0.11417126655578613
0.09857058525085449,0.16054511070251465,0.1513209342956543,0.1498863697052002,0.1359267234802246,0.15081429481506348,0.1119527816772461
0.09769892692565918,0.14958620071411133,0.14983057975769043,0.13399648666381836,0.1350727081298828,0.1541728973388672,0.1099233627319336
0.09705853462219238,0.14967608451843262,0.15004563331604004,0.13344669342041016,0.1370248794555664,0.15256357192993164,0.10987257957458496
0.09804630279541016,0.14785051345825195,0.14647221565246582,0.13820910453796387,0.1348433494567871,0.15406298637390137,0.11010909080505371
0.09815526008605957,0.1500685214996338,0.15137243270874023,0.13500761985778809,0.135406494140625,0.1518392562866211,0.11201786994934082
0.09719133377075195,0.14748883247375488,0.1570730209350586,0.13355469703674316,0.14011669158935547,0.15295815467834473,0.11072349548339844
0.09833335876464844,0.15066838264465332,0.1543569564819336,0.13423800468444824,0.13498783111572266,0.15276122093200684,0.11025142669677734
0.0994255542755127,0.15494418144226074,0.15226149559020996,0.14566373825073242,0.1344897747039795,0.15602707862854004,0.11050963401794434
0.09855222702026367,0.15131616592407227,0.15590524673461914,0.14196062088012695,0.13642239570617676,0.1521599292755127,0.11150121688842773
0.09923887252807617,0.15086650848388672,0.14875054359436035,0.13393712043762207,0.13426637649536133,0.15436697006225586,0.10989522933959961
0.0963287353515625,0.15342259407043457,0.1533052921295166,0.14780569076538086,0.13742542266845703,0.15429139137268066,0.11031460762023926
0.10038113594055176,0.14860177040100098,0.15310883522033691,0.14164304733276367,0.1351301670074463,0.15744233131408691,0.10958504676818848
0.09771990776062012,0.15187788009643555,0.14558792114257812,0.13391518592834473,0.13608860969543457,0.15250372886657715,0.11016464233398438
0.10009622573852539,0.14969515800476074,0.1494007110595703,0.1439971923828125,0.1351158618927002,0.150923490524292,0.10902023315429688
0.09959554672241211,0.15092134475708008,0.15682220458984375,0.13348889350891113,0.1345658302307129,0.1494765281677246,0.10762500762939453
